"","id","Name","Name_english","Height","Weight","HP","Attack","Defense","SpAttack","SpDefense","Speed","Total","capture_rate","base_happiness","Type","Type1","Type2","habitat","color","shape","growth_rate","gender_rate","has_gender_differences","is_baby","forms_switchable","LastEvolution","evolves_from_species_id","evolution_chain_id","generation_id","hatch_counter","conquest_order"
"Scobolide",544,"Scobolide","whirlipede",1.19,58.5,40,55,99,40,79,47,360,120,70,"Bug~Poison","Bug","Poison",NA,"gray","ball","medium-slow","4","0","0","0",FALSE,543,277,"5",15,32
"Brutapode",545,"Brutapode","scolipede",2.49,200.5,60,90,89,55,69,112,475,45,70,"Bug~Poison","Bug","Poison",NA,"red","armor","medium-slow","4","0","0","0",TRUE,544,277,"5",20,33
"Doudouvet",546,"Doudouvet","cottonee",0.3,0.6,40,27,60,37,50,66,280,190,70,"Grass","Grass",NA,NA,"green","ball","medium","4","0","0","0",FALSE,NA,278,"5",20,48
"Farfaduvet",547,"Farfaduvet","whimsicott",0.71,6.6,60,67,85,77,75,116,480,75,70,"Grass","Grass",NA,NA,"green","humanoid","medium","4","0","0","0",TRUE,546,278,"5",20,49
"Chlorobule",548,"Chlorobule","petilil",0.51,6.6,45,35,50,70,50,30,280,190,70,"Grass","Grass",NA,NA,"green","blob","medium","8","0","0","0",FALSE,NA,279,"5",20,43
"Fragilady",549,"Fragilady","lilligant",1.09,16.3,70,60,75,110,75,90,480,75,70,"Grass","Grass",NA,NA,"green","blob","medium","8","0","0","0",TRUE,548,279,"5",20,44
"Bargantua",550,"Bargantua","basculin",0.99,18,70,92,65,80,55,98,460,25,70,"Water","Water",NA,NA,"green","fish","medium","4","0","0","0",TRUE,NA,280,"5",40,NA
"Mascaïman",551,"Mascaïman","sandile",0.71,15.2,50,72,35,35,35,65,292,180,70,"Ground~Dark","Ground","Dark",NA,"brown","quadruped","medium-slow","4","0","0","0",FALSE,NA,281,"5",20,66
"Escroco",552,"Escroco","krokorok",0.99,33.4,60,82,45,45,45,74,351,90,70,"Ground~Dark","Ground","Dark",NA,"brown","quadruped","medium-slow","4","0","0","0",FALSE,551,281,"5",20,67
"Crocorible",553,"Crocorible","krookodile",1.5,96.3,95,117,70,65,70,92,509,45,70,"Ground~Dark","Ground","Dark",NA,"red","upright","medium-slow","4","0","0","0",TRUE,552,281,"5",20,68
"Darumarond",554,"Darumarond","darumaka",0.61,37.5,70,90,45,15,45,50,315,120,70,"Fire","Fire",NA,NA,"red","humanoid","medium-slow","4","0","0","0",TRUE,NA,282,"5",20,142
"Darumacho(Mode Normal)",555,"Darumacho(Mode Normal)","darmanitan",1.3,92.9,105,140,55,30,55,95,480,60,70,"Fire","Fire",NA,NA,"red","quadruped","medium-slow","4","0","0","1",TRUE,554,282,"5",20,143
"Maracachi",556,"Maracachi","maractus",0.99,28,75,86,67,106,67,60,461,255,70,"Grass","Grass",NA,NA,"green","blob","medium","4","0","0","0",TRUE,NA,283,"5",20,NA
"Crabicoque",557,"Crabicoque","dwebble",0.3,14.5,50,65,85,35,35,55,325,190,70,"Bug~Rock","Bug","Rock",NA,"red","armor","medium","4","0","0","0",FALSE,NA,284,"5",20,NA
"Crabaraque",558,"Crabaraque","crustle",1.4,200,70,95,125,65,75,45,475,75,70,"Bug~Rock","Bug","Rock",NA,"red","armor","medium","4","0","0","0",TRUE,557,284,"5",20,NA
"Baggiguane",559,"Baggiguane","scraggy",0.61,11.8,50,75,70,35,70,48,348,180,35,"Dark~Fighting","Dark","Fighting",NA,"yellow","upright","medium","4","0","0","0",FALSE,NA,285,"5",15,165
"Baggaïd",560,"Baggaïd","scrafty",1.09,30,65,90,115,45,115,58,488,90,70,"Dark~Fighting","Dark","Fighting",NA,"red","upright","medium","4","0","0","0",TRUE,559,285,"5",15,166
"Cryptéro",561,"Cryptéro","sigilyph",1.4,14,72,58,80,103,80,97,490,45,70,"Psychic~Flying","Psychic","Flying",NA,"black","wings","medium","4","0","0","0",TRUE,NA,286,"5",20,NA
"Tutafeh",562,"Tutafeh","yamask",0.51,1.5,38,30,85,55,65,30,303,190,70,"Ghost","Ghost",NA,NA,"black","arms","medium","4","0","0","0",FALSE,NA,287,"5",25,NA
"Tutankafer",563,"Tutankafer","cofagrigus",1.7,76.5,58,50,145,95,105,30,483,90,70,"Ghost","Ghost",NA,NA,"yellow","blob","medium","4","0","0","0",TRUE,562,287,"5",25,NA
"Carapagos",564,"Carapagos","tirtouga",0.71,16.5,54,78,103,53,45,22,355,45,70,"Water~Rock","Water","Rock",NA,"blue","quadruped","medium","1","0","0","0",FALSE,NA,288,"5",30,NA
"Mégapagos",565,"Mégapagos","carracosta",1.19,81,74,108,133,83,65,32,495,45,70,"Water~Rock","Water","Rock",NA,"blue","upright","medium","1","0","0","0",TRUE,564,288,"5",30,NA
"Arkéapti",566,"Arkéapti","archen",0.51,9.5,55,112,45,74,45,70,401,45,70,"Rock~Flying","Rock","Flying",NA,"yellow","wings","medium","1","0","0","0",FALSE,NA,289,"5",30,NA
"Aéroptéryx",567,"Aéroptéryx","archeops",1.4,32,75,140,65,112,65,110,567,45,70,"Rock~Flying","Rock","Flying",NA,"yellow","wings","medium","1","0","0","0",TRUE,566,289,"5",30,NA
"Miamiasme",568,"Miamiasme","trubbish",0.61,31,50,50,62,40,62,65,329,190,70,"Poison","Poison",NA,NA,"green","humanoid","medium","4","0","0","0",FALSE,NA,290,"5",20,NA
"Miasmax",569,"Miasmax","garbodor",1.91,107.3,80,95,82,60,82,75,474,60,70,"Poison","Poison",NA,NA,"green","humanoid","medium","4","0","0","0",TRUE,568,290,"5",20,NA
"Zorua",570,"Zorua","zorua",0.71,12.5,40,65,40,80,40,65,330,75,70,"Dark","Dark",NA,NA,"gray","quadruped","medium-slow","1","0","0","0",FALSE,NA,291,"5",25,154
"Zoroark",571,"Zoroark","zoroark",1.6,81.1,60,105,60,120,60,105,510,45,70,"Dark","Dark",NA,NA,"gray","upright","medium-slow","1","0","0","0",TRUE,570,291,"5",20,155
"Chinchidou",572,"Chinchidou","minccino",0.41,5.8,55,50,40,40,40,75,300,255,70,"Normal","Normal",NA,NA,"gray","quadruped","fast","6","0","0","0",FALSE,NA,292,"5",15,96
"Pashmilla",573,"Pashmilla","cinccino",0.51,7.5,75,95,60,65,60,115,470,60,70,"Normal","Normal",NA,NA,"gray","quadruped","fast","6","0","0","0",TRUE,572,292,"5",15,97
"Scrutella",574,"Scrutella","gothita",0.41,5.8,45,30,50,55,65,45,290,200,70,"Psychic","Psychic",NA,NA,"purple","humanoid","medium-slow","6","0","0","0",FALSE,NA,293,"5",20,63
"Mesmérella",575,"Mesmérella","gothorita",0.71,18,60,45,70,75,85,55,390,100,70,"Psychic","Psychic",NA,NA,"purple","humanoid","medium-slow","6","0","0","0",FALSE,574,293,"5",20,64
"Sidérella",576,"Sidérella","gothitelle",1.5,44,70,55,95,95,110,65,490,50,70,"Psychic","Psychic",NA,NA,"purple","humanoid","medium-slow","6","0","0","0",TRUE,575,293,"5",20,65
"Nucléos",577,"Nucléos","solosis",0.3,1,45,30,40,105,50,20,290,200,70,"Psychic","Psychic",NA,NA,"green","ball","medium-slow","4","0","0","0",FALSE,NA,294,"5",20,NA
"Méios",578,"Méios","duosion",0.61,8,65,40,50,125,60,30,370,100,70,"Psychic","Psychic",NA,NA,"green","ball","medium-slow","4","0","0","0",FALSE,577,294,"5",20,NA
"Symbios",579,"Symbios","reuniclus",0.99,20.1,110,65,75,125,85,30,490,50,70,"Psychic","Psychic",NA,NA,"green","arms","medium-slow","4","0","0","0",TRUE,578,294,"5",20,NA
"Couaneton",580,"Couaneton","ducklett",0.51,5.5,62,44,50,44,50,55,305,190,70,"Water~Flying","Water","Flying",NA,"blue","wings","medium","4","0","0","0",FALSE,NA,295,"5",20,NA
"Lakmécygne",581,"Lakmécygne","swanna",1.3,24.2,75,87,63,67,63,98,453,45,70,"Water~Flying","Water","Flying",NA,"white","wings","medium","4","0","0","0",TRUE,580,295,"5",20,NA
"Sorbébé",582,"Sorbébé","vanillite",0.41,5.7,36,50,50,65,60,44,305,255,70,"Ice","Ice",NA,NA,"white","blob","slow","4","0","0","0",FALSE,NA,296,"5",20,NA
"Sorboul",583,"Sorboul","vanillish",1.09,41,51,65,65,80,75,59,395,120,70,"Ice","Ice",NA,NA,"white","blob","slow","4","0","0","0",FALSE,582,296,"5",20,NA
"Sorbouboul",584,"Sorbouboul","vanilluxe",1.3,57.5,71,95,85,110,95,79,535,45,70,"Ice","Ice",NA,NA,"white","heads","slow","4","0","0","0",TRUE,583,296,"5",20,NA
"Vivaldaim",585,"Vivaldaim","deerling",0.61,19.5,60,60,50,40,50,75,335,190,70,"Normal~Grass","Normal","Grass",NA,"yellow","quadruped","medium","4","0","0","1",FALSE,NA,297,"5",20,NA
"Haydaim",586,"Haydaim","sawsbuck",1.91,92.5,80,100,70,60,70,95,475,75,70,"Normal~Grass","Normal","Grass",NA,"brown","quadruped","medium","4","0","0","1",TRUE,585,297,"5",20,NA
"Emolga",587,"Emolga","emolga",0.41,5,55,75,60,75,60,103,428,200,70,"Electric~Flying","Electric","Flying",NA,"white","quadruped","medium","4","0","0","0",TRUE,NA,298,"5",20,180
"Carabing",588,"Carabing","karrablast",0.51,5.9,50,75,45,40,45,60,315,200,70,"Bug","Bug",NA,NA,"blue","humanoid","medium","4","0","0","0",FALSE,NA,299,"5",15,NA
"Lançargot",589,"Lançargot","escavalier",0.99,33,70,135,105,60,105,20,495,75,70,"Bug~Steel","Bug","Steel",NA,"gray","arms","medium","4","0","0","0",TRUE,588,299,"5",15,NA
"Trompignon",590,"Trompignon","foongus",0.2,1,69,55,45,55,55,15,294,190,70,"Grass~Poison","Grass","Poison",NA,"white","arms","medium","4","0","0","0",FALSE,NA,300,"5",20,NA
"Gaulet",591,"Gaulet","amoonguss",0.61,10.5,114,85,70,85,80,30,464,75,70,"Grass~Poison","Grass","Poison",NA,"white","arms","medium","4","0","0","0",TRUE,590,300,"5",20,NA
"Viskuse",592,"Viskuse","frillish",1.19,33,55,40,50,65,85,40,335,190,70,"Water~Ghost","Water","Ghost",NA,"white","tentacles","medium","4","1","0","0",FALSE,NA,301,"5",20,NA
"Moyade",593,"Moyade","jellicent",2.21,135,100,60,70,85,105,60,480,60,70,"Water~Ghost","Water","Ghost",NA,"white","tentacles","medium","4","1","0","0",TRUE,592,301,"5",20,NA
"Mamanbo",594,"Mamanbo","alomomola",1.19,31.6,165,75,80,40,45,65,470,75,70,"Water","Water",NA,NA,"pink","fish","fast","4","0","0","0",TRUE,NA,302,"5",40,NA
"Statitik",595,"Statitik","joltik",0.1,0.6,50,47,50,57,50,65,319,190,70,"Bug~Electric","Bug","Electric",NA,"yellow","armor","medium","4","0","0","0",FALSE,NA,303,"5",20,147
"Mygavolt",596,"Mygavolt","galvantula",0.79,14.3,70,77,60,97,60,108,472,75,70,"Bug~Electric","Bug","Electric",NA,"yellow","armor","medium","4","0","0","0",TRUE,595,303,"5",20,148
"Grindur",597,"Grindur","ferroseed",0.61,18.8,44,50,91,24,86,10,305,255,70,"Grass~Steel","Grass","Steel",NA,"gray","ball","medium","4","0","0","0",FALSE,NA,304,"5",20,NA
"Noacier",598,"Noacier","ferrothorn",0.99,110,74,94,131,54,116,20,489,90,70,"Grass~Steel","Grass","Steel",NA,"gray","tentacles","medium","4","0","0","0",TRUE,597,304,"5",20,NA
"Tic",599,"Tic","klink",0.3,21,40,55,70,45,60,30,300,130,70,"Steel","Steel",NA,NA,"gray","heads","medium-slow","-1","0","0","0",FALSE,NA,305,"5",20,NA
"Clic",600,"Clic","klang",0.61,51,60,80,95,70,85,50,440,60,70,"Steel","Steel",NA,NA,"gray","heads","medium-slow","-1","0","0","0",FALSE,599,305,"5",20,NA
"Cliticlic",601,"Cliticlic","klinklang",0.61,81,60,100,115,70,85,90,520,30,70,"Steel","Steel",NA,NA,"gray","heads","medium-slow","-1","0","0","0",TRUE,600,305,"5",20,NA
"Anchwatt",602,"Anchwatt","tynamo",0.2,0.3,35,55,40,45,40,60,275,190,70,"Electric","Electric",NA,NA,"white","fish","slow","4","0","0","0",FALSE,NA,306,"5",20,NA
"Lampéroie",603,"Lampéroie","eelektrik",1.19,22,65,85,70,75,70,40,405,60,70,"Electric","Electric",NA,NA,"blue","fish","slow","4","0","0","0",FALSE,602,306,"5",20,NA
"Ohmassacre",604,"Ohmassacre","eelektross",2.11,80.5,85,115,80,105,80,50,515,30,70,"Electric","Electric",NA,NA,"blue","fish","slow","4","0","0","0",TRUE,603,306,"5",20,NA
"Lewsor",605,"Lewsor","elgyem",0.51,9,55,55,55,85,55,30,335,255,70,"Psychic","Psychic",NA,NA,"blue","upright","medium","4","0","0","0",FALSE,NA,307,"5",20,NA
"Neitram",606,"Neitram","beheeyem",0.99,34.5,75,75,75,125,95,40,485,90,70,"Psychic","Psychic",NA,NA,"brown","humanoid","medium","4","0","0","0",TRUE,605,307,"5",20,NA
"Funécire",607,"Funécire","litwick",0.3,3.1,50,30,55,65,55,20,275,190,70,"Ghost~Fire","Ghost","Fire",NA,"white","blob","medium-slow","4","0","0","0",FALSE,NA,308,"5",20,37
"Mélancolux",608,"Mélancolux","lampent",0.61,13,60,40,60,95,60,55,370,90,70,"Ghost~Fire","Ghost","Fire",NA,"black","arms","medium-slow","4","0","0","0",FALSE,607,308,"5",20,38
"Lugulabre",609,"Lugulabre","chandelure",0.99,34.3,60,55,90,145,90,80,520,45,70,"Ghost~Fire","Ghost","Fire",NA,"black","arms","medium-slow","4","0","0","0",TRUE,608,308,"5",20,39
"Coupenotte",610,"Coupenotte","axew",0.61,18,46,87,60,30,40,57,320,75,35,"Dragon","Dragon",NA,NA,"green","upright","slow","4","0","0","0",FALSE,NA,309,"5",40,144
"Incisache",611,"Incisache","fraxure",0.99,36,66,117,70,40,50,67,410,60,35,"Dragon","Dragon",NA,NA,"green","upright","slow","4","0","0","0",FALSE,610,309,"5",40,145
"Tranchodon",612,"Tranchodon","haxorus",1.8,105.5,76,147,90,60,70,97,540,45,35,"Dragon","Dragon",NA,NA,"yellow","upright","slow","4","0","0","0",TRUE,611,309,"5",40,146
"Polarhume",613,"Polarhume","cubchoo",0.51,8.5,55,70,40,60,40,40,305,120,70,"Ice","Ice",NA,NA,"white","upright","medium","4","0","0","0",FALSE,NA,310,"5",20,104
"Polagriffe",614,"Polagriffe","beartic",2.59,260,95,110,80,70,80,50,485,60,70,"Ice","Ice",NA,NA,"white","quadruped","medium","4","0","0","0",TRUE,613,310,"5",20,105
"Hexagel",615,"Hexagel","cryogonal",1.09,148,70,50,30,95,135,105,485,25,70,"Ice","Ice",NA,NA,"blue","ball","medium","-1","0","0","0",TRUE,NA,311,"5",25,NA
"Escargaume",616,"Escargaume","shelmet",0.41,7.7,50,40,85,40,65,25,305,200,70,"Bug","Bug",NA,NA,"red","ball","medium","4","0","0","0",FALSE,NA,312,"5",15,NA
"Limaspeed",617,"Limaspeed","accelgor",0.79,25.3,80,70,40,100,60,145,495,75,70,"Bug","Bug",NA,NA,"red","arms","medium","4","0","0","0",TRUE,616,312,"5",15,NA
"Limonde",618,"Limonde","stunfisk",0.71,11,109,66,84,81,99,32,471,75,70,"Electric~Ground","Electric","Ground",NA,"brown","fish","medium","4","0","0","0",TRUE,NA,313,"5",20,NA
"Kungfouine",619,"Kungfouine","mienfoo",0.89,20,45,85,50,55,50,65,350,180,70,"Fighting","Fighting",NA,NA,"yellow","upright","medium-slow","4","0","0","0",FALSE,NA,314,"5",25,NA
"Shaofouine",620,"Shaofouine","mienshao",1.4,35.5,65,125,60,95,60,105,510,45,70,"Fighting","Fighting",NA,NA,"purple","upright","medium-slow","4","0","0","0",TRUE,619,314,"5",25,NA
"Drakkarmin",621,"Drakkarmin","druddigon",1.6,139,77,120,90,60,90,48,485,45,70,"Dragon","Dragon",NA,NA,"red","upright","medium","4","0","0","0",TRUE,NA,315,"5",30,NA
"Gringolem",622,"Gringolem","golett",0.99,92,59,74,50,35,50,35,303,190,70,"Ground~Ghost","Ground","Ghost",NA,"green","humanoid","medium","-1","0","0","0",FALSE,NA,316,"5",25,NA
"Golemastoc",623,"Golemastoc","golurk",2.79,330,89,124,80,55,80,55,483,90,70,"Ground~Ghost","Ground","Ghost",NA,"green","humanoid","medium","-1","0","0","0",TRUE,622,316,"5",25,NA
"Scalpion",624,"Scalpion","pawniard",0.51,10.2,45,85,70,40,40,60,340,120,35,"Dark~Steel","Dark","Steel",NA,"red","humanoid","medium","4","0","0","0",FALSE,NA,317,"5",20,158
"Scalproie",625,"Scalproie","bisharp",1.6,70,65,125,100,60,70,70,490,45,35,"Dark~Steel","Dark","Steel",NA,"red","humanoid","medium","4","0","0","0",TRUE,624,317,"5",20,159
"Frison",626,"Frison","bouffalant",1.6,94.6,95,110,95,40,95,55,490,45,70,"Normal","Normal",NA,NA,"brown","quadruped","medium","4","0","0","0",TRUE,NA,318,"5",20,NA
"Furaiglon",627,"Furaiglon","rufflet",0.51,10.5,70,83,50,37,50,60,350,190,70,"Normal~Flying","Normal","Flying",NA,"white","wings","slow","0","0","0","0",FALSE,NA,319,"5",20,169
"Gueriaigle",628,"Gueriaigle","braviary",1.5,41,100,123,75,57,75,80,510,60,70,"Normal~Flying","Normal","Flying",NA,"red","wings","slow","0","0","0","0",TRUE,627,319,"5",20,170
"Vostourno",629,"Vostourno","vullaby",0.51,9,70,55,75,45,65,60,370,190,35,"Dark~Flying","Dark","Flying",NA,"brown","wings","slow","8","0","0","0",FALSE,NA,320,"5",20,NA
"Vaututrice",630,"Vaututrice","mandibuzz",1.19,39.5,110,65,105,55,95,80,510,60,35,"Dark~Flying","Dark","Flying",NA,"brown","wings","slow","8","0","0","0",TRUE,629,320,"5",20,NA
"Aflamanoir",631,"Aflamanoir","heatmor",1.4,58,85,97,66,105,66,65,484,90,70,"Fire","Fire",NA,NA,"red","upright","medium","4","0","0","0",TRUE,NA,321,"5",20,NA
"Fermite",632,"Fermite","durant",0.3,33,58,109,112,48,48,109,484,90,70,"Bug~Steel","Bug","Steel",NA,"gray","armor","medium","4","0","0","0",TRUE,NA,322,"5",20,NA
"Solochi",633,"Solochi","deino",0.79,17.3,52,65,50,45,50,38,300,45,35,"Dark~Dragon","Dark","Dragon",NA,"blue","quadruped","slow","4","0","0","0",FALSE,NA,323,"5",40,90
"Diamat",634,"Diamat","zweilous",1.4,50,72,85,70,65,70,58,420,45,35,"Dark~Dragon","Dark","Dragon",NA,"blue","quadruped","slow","4","0","0","0",FALSE,633,323,"5",40,91
"Trioxhydre",635,"Trioxhydre","hydreigon",1.8,160,92,105,90,125,90,98,600,45,35,"Dark~Dragon","Dark","Dragon",NA,"blue","upright","slow","4","0","0","0",TRUE,634,323,"5",40,92
"Pyronille",636,"Pyronille","larvesta",1.09,28.8,55,85,55,50,55,60,360,45,70,"Bug~Fire","Bug","Fire",NA,"white","armor","slow","4","0","0","0",FALSE,NA,324,"5",40,173
"Pyrax",637,"Pyrax","volcarona",1.6,46,85,60,65,135,105,100,550,15,70,"Bug~Fire","Bug","Fire",NA,"white","bug-wings","slow","4","0","0","0",TRUE,636,324,"5",40,174
"Cobaltium",638,"Cobaltium","cobalion",2.11,250,91,90,129,90,72,108,580,3,35,"Steel~Fighting","Steel","Fighting",NA,"blue","quadruped","slow","-1","0","0","0",TRUE,NA,325,"5",80,NA
"Terrakium",639,"Terrakium","terrakion",1.91,260,91,129,90,72,90,108,580,3,35,"Rock~Fighting","Rock","Fighting",NA,"gray","quadruped","slow","-1","0","0","0",TRUE,NA,326,"5",80,191
"Viridium",640,"Viridium","virizion",2.01,200,91,90,72,90,129,108,580,3,35,"Grass~Fighting","Grass","Fighting",NA,"green","quadruped","slow","-1","0","0","0",TRUE,NA,327,"5",80,NA
"Boréas",641,"Boréas","tornadus",1.5,63,79,115,70,125,80,111,580,3,90,"Flying","Flying",NA,NA,"green","arms","slow","0","0","0","1",TRUE,NA,328,"5",120,NA
"Fulguris",642,"Fulguris","thundurus",1.5,61,79,115,70,125,80,111,580,3,90,"Electric~Flying","Electric","Flying",NA,"blue","arms","slow","0","0","0","1",TRUE,NA,329,"5",120,NA
"Reshiram",643,"Reshiram","reshiram",3.2,330,100,120,100,150,120,90,680,45,0,"Dragon~Fire","Dragon","Fire",NA,"white","wings","slow","-1","0","0","0",TRUE,NA,330,"5",120,197
"Zekrom",644,"Zekrom","zekrom",2.9,345,100,150,120,120,100,90,680,45,0,"Dragon~Electric","Dragon","Electric",NA,"black","upright","slow","-1","0","0","0",TRUE,NA,331,"5",120,198
"Démétéros",645,"Démétéros","landorus",1.5,68,89,125,90,115,80,101,600,3,90,"Ground~Flying","Ground","Flying",NA,"brown","arms","slow","0","0","0","1",TRUE,NA,332,"5",120,NA
"Kyurem",646,"Kyurem","kyurem",3,325,125,130,90,130,90,95,660,3,0,"Dragon~Ice","Dragon","Ice",NA,"gray","upright","slow","-1","0","0","1",TRUE,NA,333,"5",120,NA
"Keldeo",647,"Keldeo","keldeo",1.4,48.5,91,72,90,129,90,108,580,3,35,"Water~Fighting","Water","Fighting",NA,"yellow","quadruped","slow","-1","0","0","0",TRUE,NA,334,"5",80,NA
"Meloetta(Forme Voix)",648,"Meloetta(Forme Voix)","meloetta",0.61,6.5,100,77,77,128,128,90,600,3,100,"Normal~Psychic","Normal","Psychic",NA,"white","humanoid","slow","-1","0","0","1",TRUE,NA,335,"5",120,NA
"Genesect",649,"Genesect","genesect",1.5,82.5,71,120,95,120,95,99,600,3,0,"Bug~Steel","Bug","Steel",NA,"purple","humanoid","slow","-1","0","0","1",TRUE,NA,336,"5",120,NA
